title,price,sale,volume,savings,link
J.P. Wiser's Deluxe,$39.75,,1140 mL,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/216689
Alberta Springs,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/alberta-springs/216234
Canadian Club Premium,$39.75,,1140 mL,,http://www.lcbo.com/lcbo/product/canadian-club-premium/217687
Jack Daniel's Tennessee Whiskey,$9.95,,200 mL,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624
Alberta Premium,$8.05,,200 mL,,http://www.lcbo.com/lcbo/product/alberta-premium/245944
Alberta Premium,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/alberta-premium/216226
Crown Royal Black,$32.95,,750 mL,,http://www.lcbo.com/lcbo/product/crown-royal-black/224352
Seagram's 83 Whisky,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/seagram-s-83-whisky/192922
The Balvenie Caribbean Cask 14YO Scotch Whisky,$139.45,,750 mL,,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14yo-scotch-whisky/221200
Ballantine's Finest Blended Malt Scotch Whisky,$38.95,,1140 mL,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207662
J.P. Wiser's Legacy Canadian Whisky,$49.95,,750 mL,,http://www.lcbo.com/lcbo/product/jp-wiser-s-legacy-canadian-whisky/179721
Teacher's Highland Cream Scotch Whisky,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/205401
J & B Rare Scotch Whisky,$27.45,,750 mL,,http://www.lcbo.com/lcbo/product/j-b-rare-scotch-whisky/2360
Canadian Mist Whisky,$25.75,,750 mL,,http://www.lcbo.com/lcbo/product/canadian-mist-whisky/10074
Canadian Club Whisky,$59.00,,1750 mL,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/34637
Canada Gold Whisky,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/canada-gold-whisky/26229
