title,alcohol,volume,sale,savings,price,inventory,link
McClelland's Speyside Single Malt Scotch Whisky,40.0%,750 mL ,,,$45.25,,http://www.lcbo.com/lcbo/product/mcclelland-s-speyside-single-malt-scotch-whisky/573337
Crown Royal Whisky,40.0%,1750 mL ,,,$62.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/114694
Crown Royal Whisky,40.0%,3000 mL ,,,$134.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/529826
Alberta Springs Whisky (PET),40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky-pet/461434
Oban 14 Year Old Single Malt Scotch Whisky,43.01%,750 mL ,,,$114.95,,http://www.lcbo.com/lcbo/product/oban-14-year-old-single-malt-scotch-whisky/243824
Redbreast 12 Year Old Irish Whiskey,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/redbreast-12-year-old-irish-whiskey/636845
McClelland's Islay Single Malt Scotch Whisky,40.2%,750 mL ,,,$45.25,,http://www.lcbo.com/lcbo/product/mcclelland-s-islay-single-malt-scotch-whisky/404160
Seagrams 83 Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/seagrams-83-whisky/192922
J.P. Wiser's 18 Year Old Canadian Whisky,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-18-year-old-canadian-whisky/207639
Crown Royal Limited Edition Whisky,40.0%,750 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/crown-royal-limited-edition-whisky/246603
Ballantine's Finest Blended Malt Scotch Whisky,40.0%,1140 mL ,,,$40.65,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207662
Crown Royal Black,45.0%,750 mL ,,,$33.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/224352
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1140 mL ,,,$76.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/207647
Ballantine's Finest Blended Malt Scotch Whisky,40.0%,1750 mL ,,,$60.95,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207670
Gibson's Finest Sterling Edition Whisky,40.0%,750 mL ,,,$28.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/189217
The Famous Grouse Scotch Whisky,40.0%,1140 mL ,,,$42.95,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/211334
Whyte & Mackay Special Blend Scotch Whisky,40.0%,1140 mL ,,,$40.45,,http://www.lcbo.com/lcbo/product/whyte-mackay-special-blend-scotch-whisky/195834
Laphroaig 10 Year Old Islay Single Malt Scotch Whisky,43.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/laphroaig-10-year-old-islay-single-malt-scotch-whisky/248997
The Balvenie Caribbean Cask 14 Year Old Scotch Whisky,43.0%,750 mL ,,,$139.95,,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14-year-old-scotch-whisky/221200
White Owl Whisky,39.6%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/white-owl-whisky/194878
Forty Creek Confederation Oak Reserve Whisky,40.5%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/forty-creek-confederation-oak-reserve-whisky/195651
Alberta Premium Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/216226
Teacher's Highland Scotch Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/teacher-s-highland-scotch-whisky/205401
Grant's Family Reserve Scotch Whisky,40.0%,1140 mL ,,,$40.35,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/605931
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1750 mL ,,,$109.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/217778
Canadian Club Whisky (PET),40.0%,750 mL ,On sale!,$1.25,$26.70,,http://www.lcbo.com/lcbo/product/canadian-club-whisky-pet/103341
Forty Creek Double Barrel Reserve Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/forty-creek-double-barrel-reserve-whisky/94771
Forty Creek Barrel Select Whisky,40.0%,750 mL ,On sale!,$1.00,$27.95,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/550715
Glenfiddich 12 Year Old Single Malt Scotch Whisky,40.0%,1140 mL ,,,$87.95,,http://www.lcbo.com/lcbo/product/glenfiddich-12-year-old-single-malt-scotch-whisky/605923
Forty Creek Barrel Select Whisky,40.0%,200 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/587816
Alberta Premium Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/984
Auchentoshan 12 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,On sale!,$5.00,$55.95,,http://www.lcbo.com/lcbo/product/auchentoshan-12-year-old-single-malt-scotch-whisky/107359
Bushmills Irish Whiskey,40.0%,750 mL ,On sale!,$2.00,$31.95,,http://www.lcbo.com/lcbo/product/bushmills-irish-whiskey/14910
Crown Royal Whisky,40.0%,375 mL ,,,$16.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/9043
Silk Tassel Canadian Whisky (PET),40.0%,750 mL ,,,$26.75,,http://www.lcbo.com/lcbo/product/silk-tassel-canadian-whisky-pet/620
Canadian Club Whisky,40.0%,375 mL ,On sale!,$1.00,$14.95,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/463
