title,alcohol,volume,savings,%,price,link
Jack Daniel's Tennessee Whiskey,40.00%,1140 mL ,,$46.50,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616
Seagrams V.O. Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978
Wisers Special Blend Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/wisers-special-blend-whisky/216671
Gibson's Finest Rare 12 Year Old Whisky,40.00%,375 mL ,,$18.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667
Canadian Club Classic 12 Year Old,40.00%,1750 mL ,,$63.65,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311944
Spicebox Canadian Spiced Whisky,34.80%,750 mL ,,$28.45,,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954
Crown Royal Maple Finished,40.00%,750 mL ,,$29.95,,http://www.lcbo.com/lcbo/product/crown-royal-maple-finished/312801
Alberta Premium Dark Horse Whisky,45.00%,750 mL ,,$32.95,,http://www.lcbo.com/lcbo/product/alberta-premium-dark-horse-whisky/298083
Canadian Club Classic 12 Year Old,40.00%,750 mL ,,$30.60,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311928
Canadian Club Classic 12 Year Old,40.00%,375 mL ,,$16.65,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311910
Gibson's Finest Sterling Edition Whisky,40.00%,1750 mL ,,$61.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215038
Johnnie Walker Red Label,40.00%,200 mL ,,$9.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217984
Dalwhinnie 15 Year Old Scotch Whisky,43.00%,750 mL ,,$98.15,,http://www.lcbo.com/lcbo/product/dalwhinnie-15-year-old-scotch-whisky/238097
Jim Beam Black Kentucky Bourbon Aged 6 Years,43.00%,750 mL ,,$32.30,,http://www.lcbo.com/lcbo/product/jim-beam-black-kentucky-bourbon-aged-6-years/324863
Alberta Springs Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/216234
Four Roses Bourbon,40.00%,750 mL ,,$29.50,,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222
Glenfiddich Single Malt 15 Year Old Scotch Whisky,40.00%,750 mL ,,$78.70,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-15-year-old-scotch-whisky/605972
The Macallan Sienna,43.00%,750 mL ,,$186.05,,http://www.lcbo.com/lcbo/product/the-macallan-sienna/334086
Crown Royal Black,45.00%,750 mL ,,$33.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/224352
Alberta Premium,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/alberta-premium/216226
