title,alcohol,volume,sale,savings,price,inventory,link
Wisers Special Blend Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/wisers-special-blend-whisky/216671
Gibson's Finest Rare 12 Year Old Whisky,40.0%,375 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667
Alberta Premium,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/alberta-premium/216226
Glenfiddich Single Malt 15 Year Old Scotch Whisky,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-15-year-old-scotch-whisky/605972
The Balvenie Caribbean Cask 14YO Scotch Whisky,43.0%,750 mL ,,,$140.05,,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14yo-scotch-whisky/221200
Spicebox Canadian Spiced Whisky,34.8%,750 mL ,,,$28.10,,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954
Jack Daniel's Tennessee Whiskey,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624
Four Roses Bourbon,40.0%,750 mL ,,,$28.20,,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222
Seagram's 83 Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/seagram-s-83-whisky/192922
Crown Royal Black,45.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/224352
Teacher's Highland Cream Scotch Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/205401
Seagrams V.O. Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/31930
Crown Royal Special Reserve,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/crown-royal-special-reserve/321208
Bushmills Black Bush Whiskey,40.0%,750 mL ,,,$37.45,,http://www.lcbo.com/lcbo/product/bushmills-black-bush-whiskey/61374
Canadian Club Whisky,40.0%,200 mL ,,,$8.45,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/251371
Wiser's Special Blend Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/112672
Johnnie Walker Red Label Scotch Whisky,40.0%,1750 mL ,,,$66.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/112896
Grant's Family Reserve Scotch Whisky,40.0%,375 mL ,,,$15.25,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/216606
Alberta Springs Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/461434
Glenfiddich Single Malt 12 Years Old Scotch Whisky,40.0%,375 mL ,,,$31.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-years-old-scotch-whisky/252312
Seagrams 83 Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/seagrams-83-whisky/231571
Bulleit Bourbon Frontier Whiskey,45.0%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/bulleit-bourbon-frontier-whiskey/54866
Royal Reserve Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/royal-reserve-whisky/61564
Oban 14 Year Old Single Malt Scotch Whisky,43.01%,750 mL ,,,$109.95,,http://www.lcbo.com/lcbo/product/oban-14-year-old-single-malt-scotch-whisky/243824
Crown Royal Limited Edition Whisky,40.0%,750 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/crown-royal-limited-edition-whisky/246603
McClelland Single Malt Islay Scotch,40.2%,750 mL ,,,$45.20,,http://www.lcbo.com/lcbo/product/mcclelland-single-malt-islay-scotch/404160
Glenrothes Select Reserve Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.55,,http://www.lcbo.com/lcbo/product/glenrothes-select-reserve-single-malt-scotch-whisky/57091
Johnnie Walker Black Label 12 Year Old Scotch Whisky,40.0%,750 mL ,On sale!,$3.00,$53.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-year-old-scotch-whisky/7880
Glenfiddich Single Malt 18 Year Old Scotch Whisky,40.2%,750 mL ,,,$157.15,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-18-year-old-scotch-whisky/530352
Alberta Premium Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/54213
J.P. Wiser's Deluxe,40.0%,200 mL ,,,$8.65,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/413716
Johnnie Walker Red Label Scotch Whisky,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/1099
Johnnie Walker Black Label 12 Years Old Scotch Whisky,40.0%,375 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-years-old-scotch-whisky/187047
Walker's Special Old Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/281
Seagrams V.O. Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/307
Glenfiddich Single Malt 12 Year Old Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-year-old-scotch-whisky/12385
Wiser's Special Blend Whisky,40.0%,375 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/3517
The Glenlivet 12 Years Old Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/the-glenlivet-12-years-old-single-malt-scotch-whisky/21097
Crown Royal Whisky,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/1487
Wiser's Special Blend Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/1222
Royal Reserve Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/royal-reserve-whisky/992
Bushmills Irish Whiskey,40.0%,750 mL ,,,$32.45,,http://www.lcbo.com/lcbo/product/bushmills-irish-whiskey/14910
Alberta Premium Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/984
J.P. Wiser's Deluxe Whisky,40.0%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/893
Canadian Club Whisky,40.0%,375 mL ,,,$15.45,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/463
Silk Tassel Canadian Whisky,40.0%,750 mL ,,,$26.75,,http://www.lcbo.com/lcbo/product/silk-tassel-canadian-whisky/620
Grant's Sherry Cask Reserve Scotch Whisky,40.0%,750 mL ,,,$33.45,,http://www.lcbo.com/lcbo/product/grant-s-sherry-cask-reserve-scotch-whisky/15354
Johnnie Walker Red Label Scotch Whisky,40.0%,375 mL ,On sale!,$1.00,$17.55,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/3467
Crown Royal Whisky,40.0%,375 mL ,,,$16.70,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/9043
Teacher's Highland Cream Scotch Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/4465
Gibson's Finest Venerable 18 Years Old Whisky,40.0%,750 mL ,,,$89.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-venerable-18-years-old-whisky/469114
Walker's Special Old Whisky,40.0%,375 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/687
Bell's Original Scotch Whisky,39.9%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/bell-s-original-scotch-whisky/8599
Alberta Premium Whisky,40.0%,375 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/3871
Centennial 10 Year Old Limited Edition Rye,40.0%,750 mL ,,,$27.70,,http://www.lcbo.com/lcbo/product/centennial-10-year-old-limited-edition-rye/387209
Jack Daniel's Tennessee Whiskey,40.0%,1750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/182931
Jack Daniel's Tennessee Whiskey,40.0%,375 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/119743
Canadian Club Whisky,40.0%,750 mL ,On sale!,$1.25,$26.70,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/42
Grant's Family Reserve Scotch Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/247056
Canadian Club Whisky,40.0%,3000 mL ,,,$133.95,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/288563
Walker's Special Old Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/209205
The Glenlivet French Oak Reserve 15 Year Old Scotch Whisky,40.0%,750 mL ,,,$89.95,,http://www.lcbo.com/lcbo/product/the-glenlivet-french-oak-reserve-15-year-old-scotch-whisky/603050
Jack Daniel's Tennessee Whiskey,40.0%,3000 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/517383
Gibson's Finest Rare 12 Year Old Whisky,40.0%,1750 mL ,,,$66.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/200741
Chivas Regal 18 Year Old Scotch Whisky,40.0%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/chivas-regal-18-year-old-scotch-whisky/582205
Knob Creek Bourbon,50.0%,750 mL ,,,$46.95,,http://www.lcbo.com/lcbo/product/knob-creek-bourbon/326009
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1140 mL ,,,$75.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/207647
Laphroaig 10 Year Old Islay Single Malt,43.0%,750 mL ,,,$86.95,,http://www.lcbo.com/lcbo/product/laphroaig-10-year-old-islay-single-malt/248997
Ballantine's Finest Blended Malt Scotch Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207670
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1750 mL ,,,$107.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/217778
The Famous Grouse Scotch Whisky,40.0%,1140 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/211334
