title,alcohol,volume,savings,Savings,price,link,
Dewar's White Label,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/dewar-s-white-label/217992,
Jack Daniel's Single Barrel Whiskey,47.00%,750 mL ,,,$59.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-single-barrel-whiskey/480616,
Forty Creek Barrel Select Whisky,40.00%,1140 mL ,,,$41.10,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/350629,
Glen Breton Rare Canadian Single Malt Whisky,43.00%,750 mL ,,,$79.45,http://www.lcbo.com/lcbo/product/glen-breton-rare-canadian-single-malt-whisky/601146,
Glen Garioch Founder's Reserve Highland Single Malt Scotch Whisky,48.00%,750 mL ,,,$60.00,http://www.lcbo.com/lcbo/product/glen-garioch-founder-s-reserve-highland-single-malt-scotch-whisky/210252,
T̩ Bheag Scotch Whisky,40.00%,700 mL ,,,$40.75,http://www.lcbo.com/lcbo/product/te-bheag-scotch-whisky/949172,
Forty Creek Copper Pot Reserve Whisky,43.00%,1140 mL ,,,$42.95,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/350207,
Jura 12 Year Old Single Malt,43.00%,750 mL ,,,$75.15,http://www.lcbo.com/lcbo/product/jura-12-year-old-single-malt/38927,
Gibson's Finest Rare 12 Year Old Whisky,40.00%,750 mL ,,,$33.45,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/3558,
Aberfeldy 12 Year Old,40.00%,750 mL ,,,$60.95,http://www.lcbo.com/lcbo/product/aberfeldy-12-year-old/255281,
Talisker 10 Year Old Single Malt Scotch Whisky,45.80%,750 mL ,,,$104.95,http://www.lcbo.com/lcbo/product/talisker-10-year-old-single-malt-scotch-whisky/249680,
Basil Hayden Kentucky Bourbon,40.00%,750 mL ,,,$58.15,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/326025,
Jack Daniel's Tennessee Whiskey,40.00%,750 mL ,,,$36.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/41384,
Ballantine's Blended Scotch Whisky,40.00%,375 mL ,,,$15.25,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/5041,
Johnnie Walker 18 Year Old Scotch Whisky,40.00%,750 mL ,,,$149.95,http://www.lcbo.com/lcbo/product/johnnie-walker-18-year-old-scotch-whisky/292805,
Grand Macnish,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/grand-macnish/217190,
McClelland's Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$45.25,http://www.lcbo.com/lcbo/product/mcclelland-s-highland-single-malt-scotch-whisky/259333,
Baker's Kentucky Straight Bourbon Whiskey,53.50%,750 mL ,,,$74.95,http://www.lcbo.com/lcbo/product/baker-s-kentucky-straight-bourbon-whiskey/253658,
Johnnie Walker Black Label Scotch Whisky,40.00%,1140 mL ,,,$79.95,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/217802,
Johnnie Walker Black Label Scotch Whisky,40.00%,200 mL ,,,$17.75,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/217836,
Johnnie Walker Red Label Scotch Whisky,40.00%,1140 mL ,,,$45.45,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/217794,
Gibson's Finest Rare 12 Year Old Whisky,40.00%,1140 mL ,,,$46.95,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871,
