title,alcohol,volume,sale,savings,price,inventory,link
The Famous Grouse Scotch Whisky,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/52050
J.P. Wiser's Deluxe Whisky,40.0%,375 mL ,,,$15.55,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/9522
Woodford Reserve Distiller's Select,45.2%,375 mL ,On sale!,$2.00,$23.95,,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/15537
J & B Rare Scotch Whisky,40.0%,750 mL ,,,$27.95,,http://www.lcbo.com/lcbo/product/j-b-rare-scotch-whisky/2360
Forty Creek Barrel Select Whisky,40.0%,375 mL ,,,$15.75,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/47290
Grant's Family Reserve Scotch Whisky,40.0%,750 mL ,,,$28.20,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/31112
Gibson's Finest Sterling Edition Whisky,40.0%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/189217
Bulleit Bourbon Frontier Whiskey,45.0%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/bulleit-bourbon-frontier-whiskey/54866
Canadian Club Whisky,40.0%,1750 mL ,,,$60.05,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/34637
McClelland Single Malt Islay Scotch,40.2%,750 mL ,On sale!,$5.00,$40.20,,http://www.lcbo.com/lcbo/product/mcclelland-single-malt-islay-scotch/404160
Alberta Premium Whisky,40.0%,1750 mL ,,,$59.05,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/54213
Glenrothes Select Reserve Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.55,,http://www.lcbo.com/lcbo/product/glenrothes-select-reserve-single-malt-scotch-whisky/57091
Johnnie Walker Black Label 12 Years Old Scotch Whisky,40.0%,375 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-years-old-scotch-whisky/187047
Canada Gold Whisky,40.0%,1750 mL ,,,$59.75,,http://www.lcbo.com/lcbo/product/canada-gold-whisky/261768
Wiser's Special Blend Whisky,40.0%,1750 mL ,,,$59.05,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/112672
Glenfiddich Single Malt 18 Year Old Scotch Whisky,40.2%,750 mL ,,,$157.15,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-18-year-old-scotch-whisky/530352
The Famous Grouse Scotch Whisky,40.0%,1140 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/211334
J.P. Wiser's 18 Year Old Canadian Whisky,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-18-year-old-canadian-whisky/207639
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1140 mL ,,,$75.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/207647
Laphroaig 10 Year Old Islay Single Malt,43.0%,750 mL ,,,$86.95,,http://www.lcbo.com/lcbo/product/laphroaig-10-year-old-islay-single-malt/248997
Bushmills Black Bush Whiskey,40.0%,750 mL ,On sale!,$2.00,$35.45,,http://www.lcbo.com/lcbo/product/bushmills-black-bush-whiskey/61374
Whyte & Mackay Special Blend Scotch Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/whyte-mackay-special-blend-scotch-whisky/195834
Chivas Regal 12 Year Old Scotch Whisky,40.0%,1750 mL ,,,$104.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/217778
Forty Creek Confederation Oak Reserve Whisky,40.5%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/forty-creek-confederation-oak-reserve-whisky/195651
White Owl Whisky,39.6%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/white-owl-whisky/194878
Spicebox Canadian Spiced Whisky,34.8%,750 mL ,,,$28.10,,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954
Auchentoshan 12 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,On sale!,$5.00,$59.95,,http://www.lcbo.com/lcbo/product/auchentoshan-12-year-old-single-malt-scotch-whisky/107359
Forty Creek Double Barrel Reserve Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/forty-creek-double-barrel-reserve-whisky/94771
Glenfiddich Single Malt 15 Year Old Scotch Whisky,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-15-year-old-scotch-whisky/605972
J.P. Wiser's Deluxe,40.0%,1140 mL ,On sale!,$1.30,$39.45,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/216689
Alberta Springs Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/216234
Canadian Club Premium (PET),40.0%,750 mL ,On sale!,$1.25,$26.25,,http://www.lcbo.com/lcbo/product/canadian-club-premium-pet/103341
Ballantine's Finest Blended Malt Scotch Whisky,40.0%,1140 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207662
The Balvenie Caribbean Cask 14YO Scotch Whisky,43.0%,750 mL ,,,$140.05,,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14yo-scotch-whisky/221200
Jack Daniel's Tennessee Whiskey,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624
Four Roses Bourbon,40.0%,750 mL ,,,$28.20,,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222
Seagram's 83 Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/seagram-s-83-whisky/192922
Crown Royal Black,45.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/224352
Alberta Premium,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/alberta-premium/216226
Teacher's Highland Cream Scotch Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/205401
